symbol_id,symbol,base,quote,type,spot,active,taker,maker,info_status,info_isSpotTradingAllowed,precision_amount,precision_price
binance:AEVO/USDT,AEVO/USDT,AEVO,USDT,spot,1,1,0.001,0.001,TRADING,1,0.01,0.0001
binance:AGLD/BTC,AGLD/BTC,AGLD,BTC,spot,1,1,0.001,0.001,TRADING,1,0.1,0.00000001
binance:AGLD/USDT,AGLD/USDT,AGLD,USDT,spot,1,1,0.001,0.001,TRADING,1,0.1,0.001
binance:AI/BNB,AI/BNB,AI,BNB,spot,1,1,0.001,0.001,TRADING,1,0.1,0.0000001
binance:AI/BTC,AI/BTC,AI,BTC,spot,1,1,0.001,0.001,TRADING,1,0.1,0.00000001
binance:AI/FDUSD,AI/FDUSD,AI,FDUSD,spot,1,1,0.001,0.001,TRADING,1,0.1,0.0001
binance:AI/USDT,AI/USDT,AI,USDT,spot,1,1,0.001,0.001,TRADING,1,0.1,0.0001
binance:AIXBT/USDC,AIXBT/USDC,AIXBT,USDC,spot,1,1,0.001,0.001,TRADING,1,0.1,0.0001
binance:AIXBT/USDT,AIXBT/USDT,AIXBT,USDT,spot,1,1,0.001,0.001,TRADING,1,0.1,0.0001
binance:ALCX/USDT,ALCX/USDT,ALCX,USDT,spot,1,1,0.001,0.001,TRADING,1,0.0001,0.01
binance:ALGO/BTC,ALGO/BTC,ALGO,BTC,spot,1,1,0.001,0.001,TRADING,1,1,0.00000001
binance:ALGO/USDC,ALGO/USDC,ALGO,USDC,spot,1,1,0.001,0.001,TRADING,1,1,0.0001
binance:ALGO/USDT,ALGO/USDT,ALGO,USDT,spot,1,1,0.001,0.001,TRADING,1,1,0.0001
binance:ALICE/USDT,ALICE/USDT,ALICE,USDT,spot,1,1,0.001,0.001,TRADING,1,0.01,0.0001
binance:ALPINE/USDT,ALPINE/USDT,ALPINE,USDT,spot,1,1,0.001,0.001,TRADING,1,0.01,0.001
binance:ALT/BNB,ALT/BNB,ALT,BNB,spot,1,1,0.001,0.001,TRADING,1,1,0.0000001
binance:ALT/BTC,ALT/BTC,ALT,BTC,spot,1,1,0.001,0.001,TRADING,1,1,0.00000001
