symbol_id,symbol,base,quote,type,spot,active,taker,maker,info_status,info_isSpotTradingAllowed,precision_amount,precision_price,motivo_descartado
binance:BSW/USDT:USDT,BSW/USDT:USDT,BSW,USDT,swap,0,1,0.0005,0.0002,TRADING,,1,0.00001,type='SWAP' no permitido; spot='FALSE' no permitido; swap='TRUE' no permitido; info_isSpotTradingAllowed='NAN' no permitido
binance:BTC/AEUR,BTC/AEUR,BTC,AEUR,spot,1,0,0.001,0.001,BREAK,1,0.00001,0.01,active='FALSE' no permitido; info_status='BREAK' no permitido
binance:BTC/ARS,BTC/ARS,BTC,ARS,spot,1,1,0.001,0.001,TRADING,1,0.00001,1,quote=FIAT
binance:BTC/AUD,BTC/AUD,BTC,AUD,spot,1,0,0.001,0.001,BREAK,1,0.00001,0.01,quote=FIAT; active='FALSE' no permitido; info_status='BREAK' no permitido
binance:BTC/BIDR,BTC/BIDR,BTC,BIDR,spot,1,0,0.001,0.001,BREAK,1,0.00001,1,active='FALSE' no permitido; info_status='BREAK' no permitido
binance:BTC/BKRW,BTC/BKRW,BTC,BKRW,spot,1,0,0.001,0.001,BREAK,1,0.000001,1,active='FALSE' no permitido; info_status='BREAK' no permitido
binance:BTC/BRL,BTC/BRL,BTC,BRL,spot,1,1,0.001,0.001,TRADING,1,0.00001,1,quote=FIAT
binance:BTC/BUSD,BTC/BUSD,BTC,BUSD,spot,1,0,0.001,0.001,BREAK,1,0.00001,0.01,active='FALSE' no permitido; info_status='BREAK' no permitido
binance:BTC/EUR,BTC/EUR,BTC,EUR,spot,1,1,0.001,0.001,TRADING,1,0.00001,0.01,quote=FIAT
binance:BTC/GBP,BTC/GBP,BTC,GBP,spot,1,0,0.001,0.001,BREAK,1,0.00001,0.01,quote=FIAT; active='FALSE' no permitido; info_status='BREAK' no permitido
binance:BTC/IDRT,BTC/IDRT,BTC,IDRT,spot,1,0,0.001,0.001,BREAK,1,0.00001,1,active='FALSE' no permitido; info_status='BREAK' no permitido
binance:BTC/JPY,BTC/JPY,BTC,JPY,spot,1,1,0.001,0.001,TRADING,1,0.000001,1,quote=FIAT
binance:BTC/MXN,BTC/MXN,BTC,MXN,spot,1,1,0.001,0.001,TRADING,1,0.000001,1,quote=FIAT
binance:BTC/NGN,BTC/NGN,BTC,NGN,spot,1,0,0.001,0.001,BREAK,1,0.00001,1,active='FALSE' no permitido; info_status='BREAK' no permitido
binance:BTC/PAX,BTC/PAX,BTC,PAX,spot,1,0,0.001,0.001,BREAK,1,0.00001,0.01,active='FALSE' no permitido; info_status='BREAK' no permitido
binance:BTC/PLN,BTC/PLN,BTC,PLN,spot,1,1,0.001,0.001,TRADING,1,0.00001,1,quote=FIAT
binance:BTC/RON,BTC/RON,BTC,RON,spot,1,1,0.001,0.001,TRADING,1,0.00001,1,quote=FIAT
binance:BTC/RUB,BTC/RUB,BTC,RUB,spot,1,0,0.001,0.001,BREAK,1,0.00001,1,quote=FIAT; active='FALSE' no permitido; info_status='BREAK' no permitido
binance:BTC/TRY,BTC/TRY,BTC,TRY,spot,1,1,0.001,0.001,TRADING,1,0.00001,1,quote=FIAT
binance:BTC/UAH,BTC/UAH,BTC,UAH,spot,1,1,0.001,0.001,TRADING,1,0.00001,1,quote=FIAT
binance:BTC/USD:BTC,BTC/USD:BTC,BTC,USD,swap,0,1,0.0005,0.0001,,,1,0.1,quote=FIAT; type='SWAP' no permitido; spot='FALSE' no permitido; swap='TRUE' no permitido; info_status='NAN' no permitido; info_isSpotTradingAllowed='NAN' no permitido
binance:BTC/USD:BTC-250926,BTC/USD:BTC-250926,BTC,USD,future,0,1,0.0005,0.0001,,,1,0.1,quote=FIAT; type='FUTURE' no permitido; spot='FALSE' no permitido; future='TRUE' no permitido; info_status='NAN' no permitido; info_isSpotTradingAllowed='NAN' no permitido
binance:BTC/USD:BTC-251226,BTC/USD:BTC-251226,BTC,USD,future,0,1,0.0005,0.0001,,,1,0.1,quote=FIAT; type='FUTURE' no permitido; spot='FALSE' no permitido; future='TRUE' no permitido; info_status='NAN' no permitido; info_isSpotTradingAllowed='NAN' no permitido
binance:BTC/USDC:USDC,BTC/USDC:USDC,BTC,USDC,swap,0,1,0.0005,0.0002,TRADING,,0.001,0.1,type='SWAP' no permitido; spot='FALSE' no permitido; swap='TRUE' no permitido; info_isSpotTradingAllowed='NAN' no permitido
binance:BTC/USDP,BTC/USDP,BTC,USDP,spot,1,0,0.001,0.001,BREAK,1,0.00001,0.01,active='FALSE' no permitido; info_status='BREAK' no permitido
binance:BTC/USDS,BTC/USDS,BTC,USDS,spot,1,0,0.001,0.001,BREAK,1,0.000001,0.01,active='FALSE' no permitido; info_status='BREAK' no permitido
binance:BTC/USDT:USDT,BTC/USDT:USDT,BTC,USDT,swap,0,1,0.0005,0.0002,TRADING,,0.001,0.1,type='SWAP' no permitido; spot='FALSE' no permitido; swap='TRUE' no permitido; info_isSpotTradingAllowed='NAN' no permitido
binance:BTC/USDT:USDT-250926,BTC/USDT:USDT-250926,BTC,USDT,future,0,1,0.0005,0.0002,TRADING,,0.001,0.1,type='FUTURE' no permitido; spot='FALSE' no permitido; future='TRUE' no permitido; info_isSpotTradingAllowed='NAN' no permitido
binance:BTC/USDT:USDT-251226,BTC/USDT:USDT-251226,BTC,USDT,future,0,1,0.0005,0.0002,TRADING,,0.001,0.1,type='FUTURE' no permitido; spot='FALSE' no permitido; future='TRUE' no permitido; info_isSpotTradingAllowed='NAN' no permitido
binance:BTC/UST,BTC/UST,BTC,UST,spot,1,0,0.001,0.001,BREAK,1,0.00001,0.01,active='FALSE' no permitido; info_status='BREAK' no permitido
binance:BTC/VAI,BTC/VAI,BTC,VAI,spot,1,0,0.001,0.001,BREAK,1,0.00001,0.01,active='FALSE' no permitido; info_status='BREAK' no permitido
binance:BTC/ZAR,BTC/ZAR,BTC,ZAR,spot,1,1,0.001,0.001,TRADING,1,0.00001,1,quote=FIAT
binance:BTCB/BTC,BTCB/BTC,BTCB,BTC,spot,1,0,0.001,0.001,BREAK,1,0.001,0.000001,active='FALSE' no permitido; info_status='BREAK' no permitido
binance:BTCDOM/USDT:USDT,BTCDOM/USDT:USDT,BTCDOM,USDT,swap,0,1,0.0005,0.0002,TRADING,,0.001,0.1,type='SWAP' no permitido; spot='FALSE' no permitido; swap='TRUE' no permitido; info_isSpotTradingAllowed='NAN' no permitido
binance:BTCDOWN/USDT,BTCDOWN/USDT,BTCDOWN,USDT,spot,1,0,0.001,0.001,BREAK,0,0.01,0.0000001,active='FALSE' no permitido; info_status='BREAK' no permitido; info_isSpotTradingAllowed='FALSE' no permitido
binance:BTCST/BTC,BTCST/BTC,BTCST,BTC,spot,1,0,0.001,0.001,BREAK,1,0.01,0.0000001,active='FALSE' no permitido; info_status='BREAK' no permitido
binance:BTCST/BUSD,BTCST/BUSD,BTCST,BUSD,spot,1,0,0.001,0.001,BREAK,1,0.01,0.01,active='FALSE' no permitido; info_status='BREAK' no permitido
binance:BTCST/USDT,BTCST/USDT,BTCST,USDT,spot,1,0,0.001,0.001,BREAK,1,0.01,0.01,active='FALSE' no permitido; info_status='BREAK' no permitido
binance:BTCST/USDT:USDT,BTCST/USDT:USDT,BTCST,USDT,swap,0,0,0.0005,0.0002,PENDING_TRADING,,0.1,0.001,type='SWAP' no permitido; spot='FALSE' no permitido; swap='TRUE' no permitido; active='FALSE' no permitido; info_status='PENDING_TRADING' no permitido; info_isSpotTradingAllowed='NAN' no permitido
binance:BTCUP/USDT,BTCUP/USDT,BTCUP,USDT,spot,1,0,0.001,0.001,BREAK,0,0.01,0.001,active='FALSE' no permitido; info_status='BREAK' no permitido; info_isSpotTradingAllowed='FALSE' no permitido
binance:BTG/BTC,BTG/BTC,BTG,BTC,spot,1,0,0.001,0.001,BREAK,1,0.01,0.000001,active='FALSE' no permitido; info_status='BREAK' no permitido
binance:BTG/BUSD,BTG/BUSD,BTG,BUSD,spot,1,0,0.001,0.001,BREAK,1,0.01,0.01,active='FALSE' no permitido; info_status='BREAK' no permitido
binance:BTG/ETH,BTG/ETH,BTG,ETH,spot,1,0,0.001,0.001,BREAK,1,0.01,0.000001,active='FALSE' no permitido; info_status='BREAK' no permitido
binance:BTG/USDT,BTG/USDT,BTG,USDT,spot,1,0,0.001,0.001,BREAK,1,0.01,0.01,active='FALSE' no permitido; info_status='BREAK' no permitido
binance:BTS/BNB,BTS/BNB,BTS,BNB,spot,1,0,0.001,0.001,BREAK,1,1,0.000001,active='FALSE' no permitido; info_status='BREAK' no permitido
binance:BTS/BTC,BTS/BTC,BTS,BTC,spot,1,0,0.001,0.001,BREAK,1,1,0.00000001,active='FALSE' no permitido; info_status='BREAK' no permitido
binance:BTS/BUSD,BTS/BUSD,BTS,BUSD,spot,1,0,0.001,0.001,BREAK,1,0.1,0.00001,active='FALSE' no permitido; info_status='BREAK' no permitido
binance:BTS/ETH,BTS/ETH,BTS,ETH,spot,1,0,0.001,0.001,BREAK,1,1,0.00000001,active='FALSE' no permitido; info_status='BREAK' no permitido
binance:BTS/USDT,BTS/USDT,BTS,USDT,spot,1,0,0.001,0.001,BREAK,1,0.1,0.00001,active='FALSE' no permitido; info_status='BREAK' no permitido
binance:BTT/BNB,BTT/BNB,BTT,BNB,spot,1,0,0.001,0.001,BREAK,1,1,0.00000001,active='FALSE' no permitido; info_status='BREAK' no permitido
binance:BTT/BRL,BTT/BRL,BTT,BRL,spot,1,0,0.001,0.001,BREAK,1,0.1,0.00001,quote=FIAT; active='FALSE' no permitido; info_status='BREAK' no permitido
binance:BTT/BTC,BTT/BTC,BTT,BTC,spot,1,0,0.001,0.001,BREAK,1,1,0.00000001,active='FALSE' no permitido; info_status='BREAK' no permitido
binance:BTT/BUSD,BTT/BUSD,BTT,BUSD,spot,1,0,0.001,0.001,BREAK,1,1,0.000001,active='FALSE' no permitido; info_status='BREAK' no permitido
binance:BTT/EUR,BTT/EUR,BTT,EUR,spot,1,0,0.001,0.001,BREAK,1,1,0.000001,quote=FIAT; active='FALSE' no permitido; info_status='BREAK' no permitido
binance:BTT/PAX,BTT/PAX,BTT,PAX,spot,1,0,0.001,0.001,BREAK,1,1,0.0000001,active='FALSE' no permitido; info_status='BREAK' no permitido
binance:BTT/TRX,BTT/TRX,BTT,TRX,spot,1,0,0.001,0.001,BREAK,1,0.1,0.00001,active='FALSE' no permitido; info_status='BREAK' no permitido
binance:BTT/TRY,BTT/TRY,BTT,TRY,spot,1,0,0.001,0.001,BREAK,1,1,0.00001,quote=FIAT; active='FALSE' no permitido; info_status='BREAK' no permitido
binance:BTT/TUSD,BTT/TUSD,BTT,TUSD,spot,1,0,0.001,0.001,BREAK,1,1,0.000001,active='FALSE' no permitido; info_status='BREAK' no permitido
binance:BTT/USDC,BTT/USDC,BTT,USDC,spot,1,0,0.001,0.001,BREAK,1,1,0.000001,active='FALSE' no permitido; info_status='BREAK' no permitido
binance:BTT/USDT,BTT/USDT,BTT,USDT,spot,1,0,0.001,0.001,BREAK,1,1,0.000001,active='FALSE' no permitido; info_status='BREAK' no permitido
binance:BTTC/BUSD,BTTC/BUSD,BTTC,BUSD,spot,1,0,0.001,0.001,BREAK,1,1,0.00000001,active='FALSE' no permitido; info_status='BREAK' no permitido
binance:BTTC/TRY,BTTC/TRY,BTTC,TRY,spot,1,1,0.001,0.001,TRADING,1,1,0.00000001,quote=FIAT
binance:BTTC/USDC,BTTC/USDC,BTTC,USDC,spot,1,0,0.001,0.001,BREAK,1,1,0.00000001,active='FALSE' no permitido; info_status='BREAK' no permitido
binance:BULL/BUSD,BULL/BUSD,BULL,BUSD,spot,1,0,0.001,0.001,BREAK,1,0.000001,0.01,active='FALSE' no permitido; info_status='BREAK' no permitido
binance:BULL/USDT,BULL/USDT,BULL,USDT,spot,1,0,0.001,0.001,BREAK,1,0.000001,0.01,active='FALSE' no permitido; info_status='BREAK' no permitido
binance:BULLA/USDT:USDT,BULLA/USDT:USDT,BULLA,USDT,swap,0,1,0.0005,0.0002,TRADING,,1,0.00001,type='SWAP' no permitido; spot='FALSE' no permitido; swap='TRUE' no permitido; info_isSpotTradingAllowed='NAN' no permitido
binance:BURGER/BNB,BURGER/BNB,BURGER,BNB,spot,1,0,0.001,0.001,BREAK,1,0.1,0.000001,active='FALSE' no permitido; info_status='BREAK' no permitido
binance:BURGER/BUSD,BURGER/BUSD,BURGER,BUSD,spot,1,0,0.001,0.001,BREAK,1,0.1,0.0001,active='FALSE' no permitido; info_status='BREAK' no permitido
binance:BURGER/ETH,BURGER/ETH,BURGER,ETH,spot,1,0,0.001,0.001,BREAK,1,0.01,0.0000001,active='FALSE' no permitido; info_status='BREAK' no permitido
