symbol_id,symbol,base,quote,type,spot,swap,future,option,active,taker,maker,info_status,info_isSpotTradingAllowed,precision_amount,precision_price
binance:AAVEUP/USDT,AAVEUP/USDT,AAVEUP,USDT,spot,1,0,0,0,0,0.001,0.001,BREAK,0,0.01,0.0001
binance:ACA/BTC,ACA/BTC,ACA,BTC,spot,1,0,0,0,0,0.001,0.001,BREAK,1,0.01,0.00000001
binance:ACA/BUSD,ACA/BUSD,ACA,BUSD,spot,1,0,0,0,0,0.001,0.001,BREAK,1,0.01,0.0001
binance:ACA/TRY,ACA/TRY,ACA,TRY,spot,1,0,0,0,1,0.001,0.001,TRADING,1,1,0.001
binance:ACA/USDT,ACA/USDT,ACA,USDT,spot,1,0,0,0,1,0.001,0.001,TRADING,1,0.01,0.0001
binance:ACE/BNB,ACE/BNB,ACE,BNB,spot,1,0,0,0,0,0.001,0.001,BREAK,1,0.1,0.00001
binance:ACE/BTC,ACE/BTC,ACE,BTC,spot,1,0,0,0,0,0.001,0.001,BREAK,1,0.1,0.00000001
binance:ACE/FDUSD,ACE/FDUSD,ACE,FDUSD,spot,1,0,0,0,0,0.001,0.001,BREAK,1,0.1,0.001
binance:ACE/TRY,ACE/TRY,ACE,TRY,spot,1,0,0,0,1,0.001,0.001,TRADING,1,0.1,0.01
binance:ACE/USDT,ACE/USDT,ACE,USDT,spot,1,0,0,0,1,0.001,0.001,TRADING,1,0.1,0.001
binance:ACE/USDT:USDT,ACE/USDT:USDT,ACE,USDT,swap,0,1,0,0,1,0.0005,0.0002,TRADING,,0.01,0.0001
binance:ACH/BTC,ACH/BTC,ACH,BTC,spot,1,0,0,0,1,0.001,0.001,TRADING,1,1,0.00000001
binance:ACH/BUSD,ACH/BUSD,ACH,BUSD,spot,1,0,0,0,0,0.001,0.001,BREAK,1,1,0.00001
binance:ACH/TRY,ACH/TRY,ACH,TRY,spot,1,0,0,0,1,0.001,0.001,TRADING,1,1,0.0001
binance:ACH/USDC,ACH/USDC,ACH,USDC,spot,1,0,0,0,1,0.001,0.001,TRADING,1,1,0.00001
binance:ACH/USDT,ACH/USDT,ACH,USDT,spot,1,0,0,0,1,0.001,0.001,TRADING,1,1,0.00001
binance:ACH/USDT:USDT,ACH/USDT:USDT,ACH,USDT,swap,0,1,0,0,1,0.0005,0.0002,TRADING,,1,0.000001
binance:ACM/BTC,ACM/BTC,ACM,BTC,spot,1,0,0,0,0,0.001,0.001,BREAK,1,0.1,0.0000001
binance:ACM/BUSD,ACM/BUSD,ACM,BUSD,spot,1,0,0,0,0,0.001,0.001,BREAK,1,0.1,0.001
