symbol,base,quote
USD1/USDT,USD1,USDT
USDC/USDT,USDC,USDT
USDP/USDT,USDP,USDT
USTC/USDT,USTC,USDT
USUAL/USDT,USUAL,USDT
UTK/USDT,UTK,USDT
VANA/USDT,VANA,USDT
VANRY/USDT,VANRY,USDT
VELODROME/USDT,VELODROME,USDT
VET/USDT,VET,USDT
VIC/USDT,VIC,USDT
VIRTUAL/USDT,VIRTUAL,USDT
VOXEL/USDT,VOXEL,USDT
VTHO/USDT,VTHO,USDT
W/USDT,W,USDT
WAN/USDT,WAN,USDT
WAXP/USDT,WAXP,USDT
WBETH/USDT,WBETH,USDT
WBTC/USDT,WBTC,USDT
WCT/USDT,WCT,USDT
WIF/USDT,WIF,USDT
WIN/USDT,WIN,USDT
WLD/USDT,WLD,USDT
WOO/USDT,WOO,USDT
XAI/USDT,XAI,USDT
XEC/USDT,XEC,USDT
XLM/USDT,XLM,USDT
XNO/USDT,XNO,USDT
XRP/USDT,XRP,USDT
XTZ/USDT,XTZ,USDT
XUSD/USDT,XUSD,USDT
XVG/USDT,XVG,USDT
XVS/USDT,XVS,USDT
YFI/USDT,YFI,USDT
YGG/USDT,YGG,USDT
ZEC/USDT,ZEC,USDT
ZEN/USDT,ZEN,USDT
ZIL/USDT,ZIL,USDT
ZK/USDT,ZK,USDT
ZRO/USDT,ZRO,USDT
ZRX/USDT,ZRX,USDT
