symbol,base,quote,cotiza_vs_directo,origen,1_base_equivale_x_quote,1_quote_equivale_x_base
CTK/BNB,CTK,BNB,base:CTK; quote:BNB,indirecto,,
CTK/BTC,CTK,BTC,base:CTK; quote:BTC,indirecto,,
CTSI/BTC,CTSI,BTC,base:CTSI; quote:BTC,indirecto,,
CVC/USDC,CVC,USDC,base:CVC; quote:USDC,indirecto,,
CVX/USDC,CVX,USDC,base:CVX; quote:USDC,indirecto,,
CYBER/BNB,CYBER,BNB,base:CYBER; quote:BNB,indirecto,,
CYBER/BTC,CYBER,BTC,base:CYBER; quote:BTC,indirecto,,
CYBER/ETH,CYBER,ETH,base:CYBER; quote:ETH,indirecto,,
CYBER/FDUSD,CYBER,FDUSD,base:CYBER; quote:FDUSD,indirecto,,
DASH/BTC,DASH,BTC,base:DASH; quote:BTC,indirecto,,
DASH/ETH,DASH,ETH,base:DASH; quote:ETH,indirecto,,
DATA/BTC,DATA,BTC,base:DATA; quote:BTC,indirecto,,
DENT/ETH,DENT,ETH,base:DENT; quote:ETH,indirecto,,
DF/USDC,DF,USDC,base:DF; quote:USDC,indirecto,,
DIA/BTC,DIA,BTC,base:DIA; quote:BTC,indirecto,,
DODO/BTC,DODO,BTC,base:DODO; quote:BTC,indirecto,,
DOGE/BTC,DOGE,BTC,base:DOGE; quote:BTC,indirecto,,
DOGE/FDUSD,DOGE,FDUSD,base:DOGE; quote:FDUSD,indirecto,,
DOGE/TUSD,DOGE,TUSD,base:DOGE; quote:TUSD,indirecto,,
DOGE/USDC,DOGE,USDC,base:DOGE; quote:USDC,indirecto,,
DOGS/FDUSD,DOGS,FDUSD,base:DOGS; quote:FDUSD,indirecto,,
DOGS/USDC,DOGS,USDC,base:DOGS; quote:USDC,indirecto,,
DOT/BNB,DOT,BNB,base:DOT; quote:BNB,indirecto,,
DOT/BTC,DOT,BTC,base:DOT; quote:BTC,indirecto,,
DOT/ETH,DOT,ETH,base:DOT; quote:ETH,indirecto,,
DOT/FDUSD,DOT,FDUSD,base:DOT; quote:FDUSD,indirecto,,
DOT/USDC,DOT,USDC,base:DOT; quote:USDC,indirecto,,
DUSK/BTC,DUSK,BTC,base:DUSK; quote:BTC,indirecto,,
DYDX/BTC,DYDX,BTC,base:DYDX; quote:BTC,indirecto,,
DYDX/FDUSD,DYDX,FDUSD,base:DYDX; quote:FDUSD,indirecto,,
DYDX/USDC,DYDX,USDC,base:DYDX; quote:USDC,indirecto,,
