info_status,exchange,symbol_id,symbol,info_isSpotTradingAllowed
BREAK,binance,binance:ALGO/BUSD,ALGO/BUSD,True
BREAK,binance,binance:ALGO/ETH,ALGO/ETH,True
BREAK,binance,binance:ALGO/FDUSD,ALGO/FDUSD,True
BREAK,binance,binance:ALGO/PAX,ALGO/PAX,True
BREAK,binance,binance:ALGO/RUB,ALGO/RUB,True
TRADING,binance,binance:ALGO/TRY,ALGO/TRY,True
BREAK,binance,binance:ALGO/TUSD,ALGO/TUSD,True
,binance,binance:ALGO/USD:ALGO,ALGO/USD:ALGO,
TRADING,binance,binance:ALGO/USDC,ALGO/USDC,True
TRADING,binance,binance:ALGO/USDT,ALGO/USDT,True
TRADING,binance,binance:ALGO/USDT:USDT,ALGO/USDT:USDT,
BREAK,binance,binance:ALICE/BIDR,ALICE/BIDR,True
BREAK,binance,binance:ALICE/BNB,ALICE/BNB,True
BREAK,binance,binance:ALICE/BTC,ALICE/BTC,True
BREAK,binance,binance:ALICE/BUSD,ALICE/BUSD,True
TRADING,binance,binance:ALICE/TRY,ALICE/TRY,True
TRADING,binance,binance:ALICE/USDT,ALICE/USDT,True
TRADING,binance,binance:ALICE/USDT:USDT,ALICE/USDT:USDT,
TRADING,binance,binance:ALL/USDT:USDT,ALL/USDT:USDT,
BREAK,binance,binance:ALPACA/BNB,ALPACA/BNB,True
BREAK,binance,binance:ALPACA/BTC,ALPACA/BTC,True
BREAK,binance,binance:ALPACA/BUSD,ALPACA/BUSD,True
BREAK,binance,binance:ALPACA/USDT,ALPACA/USDT,True
SETTLING,binance,binance:ALPACA/USDT:USDT,ALPACA/USDT:USDT,
BREAK,binance,binance:ALPHA/BNB,ALPHA/BNB,True
BREAK,binance,binance:ALPHA/BTC,ALPHA/BTC,True
BREAK,binance,binance:ALPHA/BUSD,ALPHA/BUSD,True
BREAK,binance,binance:ALPHA/USDT,ALPHA/USDT,True
