precision_amount,precision_price,exchange,symbol_id,symbol
1.0,1e-08,binance,binance:AGI/BTC,AGI/BTC
1.0,1e-08,binance,binance:AGI/ETH,AGI/ETH
1.0,1e-08,binance,binance:AGIX/BTC,AGIX/BTC
1.0,1e-05,binance,binance:AGIX/BUSD,AGIX/BUSD
1.0,0.0001,binance,binance:AGIX/FDUSD,AGIX/FDUSD
1.0,0.01,binance,binance:AGIX/TRY,AGIX/TRY
1.0,0.0001,binance,binance:AGIX/USDT,AGIX/USDT
1.0,0.0001,binance,binance:AGIX/USDT:USDT,AGIX/USDT:USDT
0.1,1e-06,binance,binance:AGLD/BNB,AGLD/BNB
0.1,1e-08,binance,binance:AGLD/BTC,AGLD/BTC
0.1,0.001,binance,binance:AGLD/BUSD,AGLD/BUSD
0.1,0.001,binance,binance:AGLD/USDT,AGLD/USDT
1.0,0.0001,binance,binance:AGLD/USDT:USDT,AGLD/USDT:USDT
1.0,1e-06,binance,binance:AGT/USDT:USDT,AGT/USDT:USDT
0.1,1e-07,binance,binance:AI/BNB,AI/BNB
0.1,1e-08,binance,binance:AI/BTC,AI/BTC
0.1,0.0001,binance,binance:AI/FDUSD,AI/FDUSD
0.1,0.01,binance,binance:AI/TRY,AI/TRY
0.1,0.001,binance,binance:AI/TUSD,AI/TUSD
0.1,0.0001,binance,binance:AI/USDT,AI/USDT
1.0,1e-05,binance,binance:AI/USDT:USDT,AI/USDT:USDT
0.1,0.0001,binance,binance:AI16Z/USDT:USDT,AI16Z/USDT:USDT
1.0,1e-05,binance,binance:AIN/USDT:USDT,AIN/USDT:USDT
1.0,1e-05,binance,binance:AIO/USDT:USDT,AIO/USDT:USDT
1.0,1e-06,binance,binance:AION/BNB,AION/BNB
1.0,1e-08,binance,binance:AION/BTC,AION/BTC
0.01,0.0001,binance,binance:AION/BUSD,AION/BUSD
1.0,1e-08,binance,binance:AION/ETH,AION/ETH
1.0,1e-05,binance,binance:AION/USDT,AION/USDT
1.0,1e-05,binance,binance:AIOT/USDT:USDT,AIOT/USDT:USDT
0.1,0.01,binance,binance:AIXBT/TRY,AIXBT/TRY
0.1,0.0001,binance,binance:AIXBT/USDC,AIXBT/USDC
0.1,0.0001,binance,binance:AIXBT/USDT,AIXBT/USDT
1.0,1e-05,binance,binance:AIXBT/USDT:USDT,AIXBT/USDT:USDT
1.0,1e-08,binance,binance:AKRO/BTC,AKRO/BTC
1.0,1e-05,binance,binance:AKRO/BUSD,AKRO/BUSD
1.0,1e-06,binance,binance:AKRO/USDT,AKRO/USDT
0.1,0.001,binance,binance:AKT/USDT:USDT,AKT/USDT:USDT
1.0,1e-05,binance,binance:ALCH/USDT:USDT,ALCH/USDT:USDT
0.0001,1e-07,binance,binance:ALCX/BTC,ALCX/BTC
0.0001,0.01,binance,binance:ALCX/BUSD,ALCX/BUSD
0.0001,0.01,binance,binance:ALCX/USDT,ALCX/USDT
0.01,1.0,binance,binance:ALGO/BIDR,ALGO/BIDR
1.0,1e-07,binance,binance:ALGO/BNB,ALGO/BNB
1.0,1e-08,binance,binance:ALGO/BTC,ALGO/BTC
1.0,0.0001,binance,binance:ALGO/BUSD,ALGO/BUSD
0.1,1e-08,binance,binance:ALGO/ETH,ALGO/ETH
1.0,0.0001,binance,binance:ALGO/FDUSD,ALGO/FDUSD
0.01,0.0001,binance,binance:ALGO/PAX,ALGO/PAX
0.1,0.01,binance,binance:ALGO/RUB,ALGO/RUB
0.1,0.001,binance,binance:ALGO/TRY,ALGO/TRY
0.01,0.0001,binance,binance:ALGO/TUSD,ALGO/TUSD
1.0,0.0001,binance,binance:ALGO/USD:ALGO,ALGO/USD:ALGO
1.0,0.0001,binance,binance:ALGO/USDC,ALGO/USDC
1.0,0.0001,binance,binance:ALGO/USDT,ALGO/USDT
0.1,0.0001,binance,binance:ALGO/USDT:USDT,ALGO/USDT:USDT
0.01,1.0,binance,binance:ALICE/BIDR,ALICE/BIDR
0.001,1e-06,binance,binance:ALICE/BNB,ALICE/BNB
0.01,1e-08,binance,binance:ALICE/BTC,ALICE/BTC
0.01,0.001,binance,binance:ALICE/BUSD,ALICE/BUSD
0.001,0.01,binance,binance:ALICE/TRY,ALICE/TRY
0.01,0.0001,binance,binance:ALICE/USDT,ALICE/USDT
0.1,0.001,binance,binance:ALICE/USDT:USDT,ALICE/USDT:USDT
1.0,0.0001,binance,binance:ALL/USDT:USDT,ALL/USDT:USDT
0.1,1e-06,binance,binance:ALPACA/BNB,ALPACA/BNB
0.1,1e-08,binance,binance:ALPACA/BTC,ALPACA/BTC
0.1,0.0001,binance,binance:ALPACA/BUSD,ALPACA/BUSD
0.1,0.0001,binance,binance:ALPACA/USDT,ALPACA/USDT
1.0,1e-05,binance,binance:ALPACA/USDT:USDT,ALPACA/USDT:USDT
1.0,1e-06,binance,binance:ALPHA/BNB,ALPHA/BNB
1.0,1e-08,binance,binance:ALPHA/BTC,ALPHA/BTC
1.0,0.0001,binance,binance:ALPHA/BUSD,ALPHA/BUSD
1.0,0.0001,binance,binance:ALPHA/USDT,ALPHA/USDT
1.0,1e-05,binance,binance:ALPHA/USDT:USDT,ALPHA/USDT:USDT
0.01,1e-08,binance,binance:ALPINE/BTC,ALPINE/BTC
0.01,0.001,binance,binance:ALPINE/BUSD,ALPINE/BUSD
0.01,0.001,binance,binance:ALPINE/EUR,ALPINE/EUR
0.01,0.01,binance,binance:ALPINE/TRY,ALPINE/TRY
0.01,0.001,binance,binance:ALPINE/USDT,ALPINE/USDT
0.1,0.0001,binance,binance:ALPINE/USDT:USDT,ALPINE/USDT:USDT
1.0,1e-07,binance,binance:ALT/BNB,ALT/BNB
1.0,1e-08,binance,binance:ALT/BTC,ALT/BTC
1.0,1e-05,binance,binance:ALT/FDUSD,ALT/FDUSD
1.0,0.001,binance,binance:ALT/TRY,ALT/TRY
1.0,1e-05,binance,binance:ALT/USDC,ALT/USDC
1.0,1e-05,binance,binance:ALT/USDT,ALT/USDT
1.0,1e-05,binance,binance:ALT/USDT:USDT,ALT/USDT:USDT
1.0,1e-06,binance,binance:AMB/BNB,AMB/BNB
1.0,1e-08,binance,binance:AMB/BTC,AMB/BTC
1.0,1e-05,binance,binance:AMB/BUSD,AMB/BUSD
1.0,1e-08,binance,binance:AMB/ETH,AMB/ETH
1.0,1e-05,binance,binance:AMB/USDT,AMB/USDT
1.0,1e-06,binance,binance:AMB/USDT:USDT,AMB/USDT:USDT
1.0,1e-08,binance,binance:AMP/BNB,AMP/BNB
1.0,1e-08,binance,binance:AMP/BTC,AMP/BTC
1.0,1e-06,binance,binance:AMP/BUSD,AMP/BUSD
1.0,0.0001,binance,binance:AMP/TRY,AMP/TRY
1.0,1e-06,binance,binance:AMP/USDT,AMP/USDT
0.01,1e-07,binance,binance:ANC/BNB,ANC/BNB
0.01,1e-08,binance,binance:ANC/BTC,ANC/BTC
0.01,1e-05,binance,binance:ANC/BUSD,ANC/BUSD
0.01,1e-05,binance,binance:ANC/USDT,ANC/USDT
0.1,1e-08,binance,binance:ANIME/BNB,ANIME/BNB
0.1,1e-05,binance,binance:ANIME/FDUSD,ANIME/FDUSD
0.1,0.001,binance,binance:ANIME/TRY,ANIME/TRY
0.1,1e-05,binance,binance:ANIME/USDC,ANIME/USDC
0.1,1e-05,binance,binance:ANIME/USDT,ANIME/USDT
1.0,1e-05,binance,binance:ANIME/USDT:USDT,ANIME/USDT:USDT
1.0,1e-07,binance,binance:ANKR/BNB,ANKR/BNB
1.0,1e-08,binance,binance:ANKR/BTC,ANKR/BTC
0.1,1e-05,binance,binance:ANKR/BUSD,ANKR/BUSD
1.0,1e-06,binance,binance:ANKR/PAX,ANKR/PAX
1.0,0.0001,binance,binance:ANKR/TRY,ANKR/TRY
1.0,1e-06,binance,binance:ANKR/TUSD,ANKR/TUSD
1.0,1e-06,binance,binance:ANKR/USDC,ANKR/USDC
0.1,1e-05,binance,binance:ANKR/USDT,ANKR/USDT
