exchange,symbol_id,symbol,base,quote,type,spot,swap,future,option,active,taker,maker
binance,binance:ADX/ETH,ADX/ETH,ADX,ETH,spot,True,False,False,False,True,0.001,0.001
binance,binance:ADX/USDT,ADX/USDT,ADX,USDT,spot,True,False,False,False,True,0.001,0.001
binance,binance:AE/BNB,AE/BNB,AE,BNB,spot,True,False,False,False,False,0.001,0.001
binance,binance:AE/BTC,AE/BTC,AE,BTC,spot,True,False,False,False,False,0.001,0.001
binance,binance:AE/ETH,AE/ETH,AE,ETH,spot,True,False,False,False,False,0.001,0.001
binance,binance:AERGO/BTC,AERGO/BTC,AERGO,BTC,spot,True,False,False,False,False,0.001,0.001
binance,binance:AERGO/BUSD,AERGO/BUSD,AERGO,BUSD,spot,True,False,False,False,False,0.001,0.001
binance,binance:AERGO/USDT,AERGO/USDT,AERGO,USDT,spot,True,False,False,False,False,0.001,0.001
binance,binance:AERGO/USDT:USDT,AERGO/USDT:USDT,AERGO,USDT,swap,False,True,False,False,True,0.0005,0.0002
binance,binance:AERO/USDT:USDT,AERO/USDT:USDT,AERO,USDT,swap,False,True,False,False,True,0.0005,0.0002
binance,binance:AEUR/USDT,AEUR/USDT,AEUR,USDT,spot,True,False,False,False,True,0.001,0.001
binance,binance:AEVO/BNB,AEVO/BNB,AEVO,BNB,spot,True,False,False,False,False,0.001,0.001
binance,binance:AEVO/BTC,AEVO/BTC,AEVO,BTC,spot,True,False,False,False,True,0.001,0.001
binance,binance:AEVO/FDUSD,AEVO/FDUSD,AEVO,FDUSD,spot,True,False,False,False,True,0.001,0.001
binance,binance:AEVO/TRY,AEVO/TRY,AEVO,TRY,spot,True,False,False,False,True,0.001,0.001
binance,binance:AEVO/USDT,AEVO/USDT,AEVO,USDT,spot,True,False,False,False,True,0.001,0.001
binance,binance:AEVO/USDT:USDT,AEVO/USDT:USDT,AEVO,USDT,swap,False,True,False,False,True,0.0005,0.0002
binance,binance:AGI/BNB,AGI/BNB,AGI,BNB,spot,True,False,False,False,False,0.001,0.001
binance,binance:AGI/BTC,AGI/BTC,AGI,BTC,spot,True,False,False,False,False,0.001,0.001
binance,binance:AGI/ETH,AGI/ETH,AGI,ETH,spot,True,False,False,False,False,0.001,0.001
binance,binance:AGIX/BTC,AGIX/BTC,AGIX,BTC,spot,True,False,False,False,False,0.001,0.001
binance,binance:AGIX/BUSD,AGIX/BUSD,AGIX,BUSD,spot,True,False,False,False,False,0.001,0.001
binance,binance:AGIX/FDUSD,AGIX/FDUSD,AGIX,FDUSD,spot,True,False,False,False,False,0.001,0.001
binance,binance:AGIX/TRY,AGIX/TRY,AGIX,TRY,spot,True,False,False,False,False,0.001,0.001
binance,binance:AGIX/USDT,AGIX/USDT,AGIX,USDT,spot,True,False,False,False,False,0.001,0.001
binance,binance:AGIX/USDT:USDT,AGIX/USDT:USDT,AGIX,USDT,swap,False,True,False,False,False,0.0005,0.0002
binance,binance:AGLD/BNB,AGLD/BNB,AGLD,BNB,spot,True,False,False,False,False,0.001,0.001
binance,binance:AGLD/BTC,AGLD/BTC,AGLD,BTC,spot,True,False,False,False,True,0.001,0.001
binance,binance:AGLD/BUSD,AGLD/BUSD,AGLD,BUSD,spot,True,False,False,False,False,0.001,0.001
binance,binance:AGLD/USDT,AGLD/USDT,AGLD,USDT,spot,True,False,False,False,True,0.001,0.001
binance,binance:AGLD/USDT:USDT,AGLD/USDT:USDT,AGLD,USDT,swap,False,True,False,False,True,0.0005,0.0002
binance,binance:AGT/USDT:USDT,AGT/USDT:USDT,AGT,USDT,swap,False,True,False,False,True,0.0005,0.0002
